firmeza_predict,firmeza_real
138.08650000000014,134.45
145.82200000000003,143.65
139.6415,141.05
137.14550000000008,137.2
151.74350000000013,144.35
144.0175,142.65
140.4605,156.7
139.3975,142.9
128.22750000000002,148.55
134.50800000000004,142.55
136.78850000000003,140.25
144.23999999999995,160.1
143.94800000000006,151.7
139.49800000000002,164.85
140.2000000000001,135.65
151.4095,156.25
147.91850000000005,149.65
142.35650000000004,144.65
142.726,145.35
146.2415,152.5
131.82550000000003,141.6
145.4814999999999,138.15
135.81000000000006,157.7
149.01850000000005,146.9
142.42499999999995,154.95
146.99349999999995,141.4
151.6555000000001,135.85
151.46500000000006,132.15
138.59950000000003,157.5
136.602,136.65
142.47450000000006,136.2
138.61599999999996,159.0
145.6209999999999,159.1
147.04100000000003,149.55
133.65899999999996,125.3
146.58649999999994,156.5
146.0465,116.15
143.00699999999995,163.55
131.08700000000002,129.8
152.56850000000003,176.1
141.93400000000003,136.85
147.37100000000004,158.0
143.60399999999996,138.5
137.4115,155.65
145.29899999999995,155.0
139.64450000000008,145.55
137.83950000000002,166.1
138.76449999999997,105.45
144.13850000000005,142.85
143.54749999999996,159.2
140.12500000000003,134.4
135.73100000000005,104.85
144.95499999999996,110.7
136.1225,130.1
138.79099999999997,136.4
142.7300000000001,161.3
145.36500000000012,105.45
134.92600000000013,121.65
148.2050000000001,115.35
146.4895000000001,124.2
145.49800000000013,150.35
146.57,109.65
143.99450000000004,139.0
135.5275,113.85
147.10800000000003,151.0
152.407,146.65
145.23900000000006,156.85
139.9935,158.4
135.6155,163.3
152.0125,136.65
147.00500000000005,135.85
146.92150000000004,175.1
141.81949999999995,141.9
150.82450000000006,122.7
143.2775000000001,181.1
143.69350000000003,170.7
142.12500000000003,143.2
145.81300000000005,171.75
149.73650000000006,140.75
150.92650000000006,156.15
141.03600000000003,143.9
150.2410000000001,128.1
147.4745,162.75
143.472,148.95
141.2075,172.45
131.24100000000007,176.95
145.32700000000006,158.25
145.8605,170.15
144.80400000000003,150.35
151.12350000000006,124.05
140.51650000000006,164.2
150.24250000000004,149.2
153.57950000000008,141.95
141.56700000000004,120.25
144.1925,169.3
132.22650000000004,153.75
140.22199999999998,141.5
143.40750000000006,154.4
66.83549999999998,151.5
79.18950000000007,144.7
132.28449999999998,128.1
123.44550000000008,142.85
107.17950000000002,149.7
148.235,120.1
120.654,147.15
141.1085,160.6
146.32800000000006,154.0
119.1115,162.95
138.63649999999998,126.1
121.6195,169.1
135.784,142.2
147.61349999999996,145.75
137.795,129.5
139.6585,125.45
