massa_predict,massa_real
553.4930999999998,537.42
556.0897999999999,564.96
490.7909999999997,475.92
489.8208,497.49
514.0463000000002,509.27
548.6540000000001,528.39
530.5126999999997,510.11
483.68630000000013,477.97
482.62710000000015,474.09
495.2158000000002,492.76
603.4132399999994,618.33
609.4418599999999,637.97
593.7093999999996,562.35
531.3621999999998,510.51
581.4098999999998,561.7
529.4833000000003,517.16
543.1559999999997,574.43
564.0142999999998,542.54
507.4447999999997,492.64
616.1510000000002,605.85
537.9531,520.99
616.0333600000001,646.97
506.80009999999993,510.19
533.6345000000003,521.0
529.5823999999999,509.21
454.92970000000014,456.25
548.9803999999997,544.38
496.1254999999999,483.71
503.27519999999964,492.95
472.65319999999986,496.02
538.2443000000002,528.37
526.7451000000002,515.1
550.5209999999997,531.99
511.9961999999999,506.1
474.60789999999986,454.14
492.2877999999996,436.64
526.2049000000003,540.67
475.80420000000015,467.75
502.4366999999994,486.49
487.16899999999964,437.62
528.8005000000004,532.61
525.0335999999996,508.44
464.50459999999987,470.0
524.8388999999999,532.4
599.6044999999998,575.92
548.8453,543.21
529.1367000000001,520.4
598.8123999999998,601.58
549.4233999999999,542.92
551.1474999999996,551.96
590.7538999999998,594.77
566.1306999999996,532.85
572.1915,563.78
565.0852,546.31
536.6552000000007,526.0
515.5779,505.07
551.7426999999997,555.71
563.2228999999996,579.17
518.9886999999999,513.35
520.1541000000002,544.5
568.2655999999997,564.6
623.3470000000002,628.93
479.53049999999985,446.82
584.6027999999992,603.96
535.0500000000004,537.72
580.1920599999992,594.49
534.0069000000002,542.66
602.4564999999999,606.61
597.1188999999995,586.92
532.1984000000001,530.33
540.6064000000001,527.32
541.3285999999996,545.26
644.4487600000002,636.44
548.3788000000002,554.09
571.7560000000002,569.06
485.05310000000014,496.01
564.076,565.9
568.7291999999998,581.58
546.8899999999999,554.27
534.5925999999998,543.87
576.2077999999998,578.63
548.9144,528.97
595.8231999999998,570.64
645.1884,526.01
562.9564000000003,554.28
534.7682,546.94
626.2459400000004,621.1
642.6650000000005,650.5
566.3994999999994,609.59
605.2562999999997,603.84
490.708,518.86
591.7106999999995,613.82
556.1164999999996,571.25
574.2688999999996,591.11
595.0455999999998,586.81
588.3675999999998,592.1
565.5711999999999,589.04
599.0636999999998,603.94
519.7609999999996,520.64
585.4994999999992,597.98
527.7782,521.84
633.6091200000005,649.13
536.4107,531.89
496.6393,493.67
619.5125400000005,627.05
537.3041000000003,534.24
594.5775999999997,595.7
559.9399999999997,538.63
586.7345999999992,577.36
503.5608999999996,482.39
572.7857999999998,581.25
549.1150999999999,547.27
627.5995799999997,635.66
506.8080999999996,509.9
572.9232000000002,581.21
609.5763000000005,644.44
567.2883999999998,567.7
646.0668000000003,652.97
498.94649999999945,509.03
542.7334999999997,558.77
716.5435999999993,757.35
618.6997600000002,632.88
534.8781,525.09
563.3225999999997,542.79
502.2509999999994,507.59
569.6139,562.79
705.3879999999997,703.7
589.3316999999997,571.8
590.3822999999996,563.01
568.2539999999998,568.21
642.1864999999998,680.23
